"Ireland","3349","4526","0.7399","1.225393340651299","1.1063309704228794","1.1074689417751833"
"Iceland","4040","3852","1.0488","1.478229052323454","0.9415790760205329","1.5698248765154916"
"UK","2778","3597","0.7723","1.0164654226125138","0.8792471278416035","1.1559646759467146"
"Denmark","4666","6042","0.7723","1.7072813757775338","1.4769005133219262","1.1559646759467146"
"Sweden","3207","4031","0.7956","1.173435784851811","0.9853336592520167","1.1908396946564885"
"Norway","3528","4567","0.7725","1.2908891328210756","1.1163529699340016","1.1562640323304894"
"Finland","2877","3688","0.7801","1.052689352360044","0.901491077976045","1.167639574913935"
"Russia","888","2738","0.3243","0.32491767288693746","0.6692740161329748","0.48540637629097433"
"Estonia","1753","2552","0.6869","0.641419685327479","0.6238083598142263","1.028139500074839"
"Latvia","1376","2709","0.5079","0.5034760336626418","0.6621852847714496","0.7602155365963179"
"Lituania","1544","3076","0.502","0.5649469447493597","0.7518944023466145","0.7513845232749589"
"Bielorus","788","2414","0.3264","0.28832784485912916","0.5900757760938646","0.4885496183206107"
"Ukraine","423","1351","0.3131","0.15477497255762898","0.33023710584209237","0.46864241879958085"
"Moldavia","651","1602","0.4064","0.23819978046103182","0.3915912979711562","0.6082921718305643"
"Georgia","579","2581","0.2243","0.21185510428100987","0.6308970911757517","0.3357281844035324"
"Armenia","541","1536","0.3522","0.19795096963044273","0.37545832314837446","0.5271665918275708"
"Azerbaidjan","396","1480","0.2676","0.14489571899012074","0.3617697384502567","0.4005388414907948"
"Cyprus","2023","3430","0.5898","0.7402122210025612","0.8384258127597165","0.8828019757521328"
"Turkey","870","1291","0.6739","0.31833150384193193","0.31557076509410903","1.0086813351294717"
"France","2733","4091","0.6681","1","1","1"
"Spain","2048","3459","0.5921","0.7493596780095133","0.8455145441212417","0.886244574165544"
"Portugal","1342","2440","0.55","0.491035492133187","0.5964311904179908","0.8232300553809311"
"Andorra","2351","3854","0.61","0.8602268569337724","0.9420679540454656","0.9130369705133962"
"San Marino","2629","3810","0.69","0.9619465788510794","0.9313126374969445","1.0327795240233497"
"Italy","2017","3307","0.6099","0.7380168313208928","0.8083598142263505","0.9128872923215087"
"Croatia","1511","3224","0.4687","0.552872301500183","0.7880713761916401","0.7015416853764407"
"Slovenia","1653","2900","0.57","0.6048298572996706","0.7088731361525299","0.8531656937584193"
"Austria","3778","5223","0.7233","1.3823637028905964","1.276704962111953","1.082622361921868"
"Switzerland","5811","5688","1.0216","2.1262349066959385","1.3903691029088243","1.5291124083221075"
"Luxembourg","4086","4923","0.83","1.495060373216246","1.2033732583720362","1.2423289926657686"
"Belgium","2463","3700","0.6657","0.9012074643249177","0.9044243461256416","0.9964077233947013"
"Germany","3231","4426","0.73","1.1822173435784853","1.0818870691762406","1.0926508007783264"
"Netherlands","3771","4897","0.7701","1.3798024149286499","1.19701784404791","1.1526717557251909"
"Poland","1572","3434","0.4578","0.575192096597146","0.839403568809582","0.6852267624607095"
"Czech Republic","1679","3167","0.5302","0.6143432125869008","0.774138352481056","0.7935937733872175"
"Slovakia","1182","2312","0.5112","0.43249176728869376","0.5651429968222929","0.7651549169286035"
"Greece","1098","2072","0.5299","0.40175631174533477","0.5064776338303594","0.7931447388115552"
"Bulgaria","1090","2505","0.4351","0.3988291255031101","0.612319726228306","0.6512498129022601"
"Romania","1161","2703","0.4295","0.424807903402854","0.6607186506966511","0.6428678341565633"
"Hungary","1184","2628","0.4505","0.4332235638492499","0.642385724761672","0.6743002544529262"
"Bosnia","861","2364","0.3642","0.3150384193194292","0.5778538254705451","0.5451279748540637"
"Montenegro","1012","2663","0.38","0.37028905964141967","0.6509410901979956","0.5687771291722796"
"Kosovo","552","1446","0.3817","0.20197585071350166","0.3534588120263994","0.5713216584343661"
"Serbia","1057","2753","0.3839","0.3867544822539334","0.6729406013199707","0.5746145786558898"
"North Macedonia","738","2336","0.3159","0.270032930845225","0.5710095331214862","0.4728334081724293"
"Albania","692","1586","0.4363","0.25320160995243324","0.38768027377169395","0.6530459512049095"
"Malta","1448","2691","0.5381","0.5298207098426637","0.6577853825470545","0.8054183505463254"
"Kazakhstan","578","2102","0.275","0.2114892060007318","0.513810804204351","0.41161502769046554"
