"Russia","888","2738","0.3243","-1845","-1353","-0.34380000000000005","-0.48822666591405994","-0.1743960357004024","-0.3138306302136571"
"Latvia","1376","2709","0.5079","-1357","-1382","-0.1602","-0.2980211977931684","-0.1790204744652053","-0.11900072332796266"
"Lituania","1544","3076","0.502","-1189","-1015","-0.16610000000000003","-0.24799233569294366","-0.12384314836898014","-0.12414918732396299"
"Bielorus","788","2414","0.3264","-1945","-1677","-0.3417","-0.5401134142031054","-0.22909221373704325","-0.31102120046606196"
"Ukraine","423","1351","0.3131","-2310","-2740","-0.35500000000000004","-0.8102992643176186","-0.48117413047634283","-0.32912513384127506"
"Moldavia","651","1602","0.4064","-2082","-2489","-0.26170000000000004","-0.6230586431244687","-0.4071669677501548","-0.21589167537431384"
"Georgia","579","2581","0.2243","-2154","-1510","-0.44380000000000003","-0.6739610679652248","-0.20004147495450475","-0.4739195930107195"
"Armenia","541","1536","0.3522","-2192","-2555","-0.3159","-0.7034423665860916","-0.42543826380288063","-0.27800410278321064"
"Azerbaidjan","396","1480","0.2676","-2337","-2611","-0.4005","-0.8389444457671487","-0.44156776410341614","-0.39737668166373197"
"Cyprus","2023","3430","0.5898","-710","-661","-0.07830000000000004","-0.13064374892185615","-0.0765353594556033","-0.05410838946625274"
"Spain","2048","3459","0.5921","-685","-632","-0.07600000000000007","-0.1253096793888675","-0.0728789174840121","-0.05243076190485518"
"Portugal","1342","2440","0.55","-1391","-1651","-0.11809999999999998","-0.30888711585968753","-0.22443965315964443","-0.08444746270004302"
"Andorra","2351","3854","0.61","-382","-237","-0.05810000000000004","-0.06538700256772145","-0.025917769178939398","-0.039469233388781666"
"Italy","2017","3307","0.6099","-716","-784","-0.05820000000000003","-0.13193373347989557","-0.09239528458467072","-0.039538448895224315"
"Croatia","1511","3224","0.4687","-1222","-867","-0.19940000000000002","-0.2573751673536355","-0.10343444636532073","-0.15394072098831454"
"Slovenia","1653","2900","0.57","-1080","-1191","-0.09810000000000008","-0.2183667781212133","-0.14943148159941755","-0.06893529652179556"
"Belgium","2463","3700","0.6657","-270","-391","-0.0024000000000000687","-0.04517521985355755","-0.043627755431378645","-0.001547464422178707"
"Poland","1572","3434","0.4578","-1161","-657","-0.21030000000000004","-0.24018708998927174","-0.07602918867347608","-0.16415790131579552"
"Czech Republic","1679","3167","0.5302","-1054","-924","-0.13790000000000002","-0.2115889355546119","-0.11118141612646149","-0.10040751942815004"
"Slovakia","1182","2312","0.5112","-1551","-1779","-0.15690000000000004","-0.3640221551474241","-0.2478416497498821","-0.1161805053975418"
"Greece","1098","2072","0.5299","-1635","-2019","-0.1382","-0.3960372915785877","-0.2954397284251784","-0.1005975631534092"
"Bulgaria","1090","2505","0.4351","-1643","-1586","-0.23300000000000004","-0.39921313375203704","-0.21302174929510898","-0.18619138445692782"
"Romania","1161","2703","0.4295","-1572","-1388","-0.23860000000000003","-0.37180741195408684","-0.1799834337996482","-0.19182397815443844"
"Hungary","1184","2628","0.4505","-1549","-1463","-0.21760000000000002","-0.36328792930576004","-0.19220411861063047","-0.17108381069512915"
"Bosnia","861","2364","0.3642","-1872","-1727","-0.3039","-0.5016364802390059","-0.23818200728915606","-0.2634544729498499"
"Montenegro","1012","2663","0.38","-1721","-1428","-0.2881","-0.43145911918888036","-0.1864583130594326","-0.24500080612944783"
"Kosovo","552","1446","0.3817","-2181","-2645","-0.28640000000000004","-0.6947005539634619","-0.4516611865398614","-0.24303936742360008"
"Serbia","1057","2753","0.3839","-1676","-1338","-0.2842","-0.41256464438523466","-0.17202326810504331","-0.24054137628019093"
"North Macedonia","738","2336","0.3159","-1995","-1755","-0.3522","-0.5685832698696194","-0.2433566410580119","-0.32522662881160713"
"Albania","692","1586","0.4363","-2041","-2505","-0.2318","-0.5965335372359029","-0.41152629651678874","-0.18500724071911415"
"Malta","1448","2691","0.5381","-1285","-1400","-0.13","-0.27587106983153253","-0.1819157817346193","-0.09395528809691331"
"Kazakhstan","578","2102","0.275","-2155","-1989","-0.3931","-0.6747117932721318","-0.2891967678061502","-0.38551502546598126"
