"Ireland","3349","4526","0.7399","3.524915147539867","3.65571454961871","-0.13079940207884294"
"Iceland","4040","3852","1.0488","3.606381365110605","3.585686278452497","0.020695086658108076"
"UK","2778","3597","0.7723","3.4437322414015967","3.5559404378185113","-0.11220819641691435"
"Denmark","4666","6042","0.7723","3.668944734457734","3.7811807209372614","-0.11223598647952782"
"Sweden","3207","4031","0.7956","3.5060989599284405","3.605412798153051","-0.09931383822461073"
"Norway","3528","4567","0.7725","3.547528576459782","3.6596310116070008","-0.11210243514721847"
"Finland","2877","3688","0.7801","3.458939861890326","3.5667909123815917","-0.10785105049126568"
"Russia","888","2738","0.3243","2.948412965778601","3.437433443797971","-0.48902047801937015"
"Estonia","1753","2552","0.6869","3.243781916093795","3.4068806700491248","-0.16309875395532977"
"Latvia","1376","2709","0.5079","3.1386184338994925","3.4328090050331683","-0.29419057113367575"
"Lituania","1544","3076","0.502","3.188647295999717","3.4879863311293935","-0.2993390351296761"
"Bielorus","788","2414","0.3264","2.8965262174895554","3.3827372657613304","-0.4862110482717751"
"Ukraine","423","1351","0.3131","2.6263403673750423","3.130655349022031","-0.5043149816469882"
"Moldavia","651","1602","0.4064","2.813580988568192","3.204662511748219","-0.3910815231800269"
"Georgia","579","2581","0.2243","2.762678563727436","3.411788004543869","-0.6491094408164326"
"Armenia","541","1536","0.3522","2.7331972651065692","3.186391215695493","-0.45319395058892376"
"Azerbaidjan","396","1480","0.2676","2.597695185925512","3.1702617153949575","-0.5725665294694451"
"Cyprus","2023","3430","0.5898","3.3059958827708047","3.5352941200427703","-0.22929823727196583"
"Turkey","870","1291","0.6739","2.9395192526186187","3.1109262422664203","-0.17140698964780182"
"France","2733","4091","0.6681","3.436639631692661","3.6118294794983736","-0.1751898478057131"
"Spain","2048","3459","0.5921","3.3113299523037933","3.5389505620143615","-0.22762060971056827"
"Portugal","1342","2440","0.55","3.1277525158329733","3.387389826338729","-0.2596373105057561"
"Andorra","2351","3854","0.61","3.3712526291249394","3.5859117103194342","-0.21465908119449476"
"San Marino","2629","3810","0.69","3.419790586106363","3.5809249756756194","-0.16113438956925655"
"Italy","2017","3307","0.6099","3.3047058982127653","3.519434194913703","-0.2147282967009374"
"Croatia","1511","3224","0.4687","3.1792644643390253","3.508395033133053","-0.32913056879402763"
"Slovenia","1653","2900","0.57","3.2182728535714475","3.462397997898956","-0.24412514432750865"
"Austria","3778","5223","0.7233","3.577261953585815","3.7179200258369938","-0.14065807225117888"
"Switzerland","5811","5688","1.0216","3.764250875438773","3.75495958772171","0.009291287717063374"
"Luxembourg","4086","4923","0.83","3.611298362296429","3.6922298357727557","-0.08093147347632687"
"Belgium","2463","3700","0.6657","3.3914644118391033","3.568201724066995","-0.1767373122278918"
"Germany","3231","4426","0.73","3.509336958017644","3.6460114095912393","-0.13667445157359512"
"Netherlands","3771","4897","0.7701","3.5764565324056203","3.689930104018218","-0.11347357161259791"
"Poland","1572","3434","0.4578","3.196452541703389","3.5358002908248976","-0.3393477491215086"
"Czech Republic","1679","3167","0.5302","3.225050696138049","3.500648063371912","-0.27559736723386313"
"Slovakia","1182","2312","0.5112","3.0726174765452368","3.3639878297484915","-0.2913703532032549"
"Greece","1098","2072","0.5299","3.040602340114073","3.3163897510731952","-0.2757874109591223"
"Bulgaria","1090","2505","0.4351","3.037426497940624","3.3988077302032647","-0.3613812322626409"
"Romania","1161","2703","0.4295","3.064832219738574","3.4318460456987254","-0.36701382596015153"
"Hungary","1184","2628","0.4505","3.073351702386901","3.419625360887743","-0.34627365850084224"
"Bosnia","861","2364","0.3642","2.935003151453655","3.3736474722092176","-0.438644320755563"
"Montenegro","1012","2663","0.38","3.0051805125037805","3.425371166438941","-0.4201906539351609"
"Kosovo","552","1446","0.3817","2.741939077729199","3.160168292958512","-0.41822921522931317"
"Serbia","1057","2753","0.3839","3.024074987307426","3.4398062113933303","-0.415731224085904"
"North Macedonia","738","2336","0.3159","2.8680563618230415","3.3684728384403617","-0.5004164766173202"
"Albania","692","1586","0.4363","2.840106094456758","3.200303182981585","-0.36019708852482724"
"Malta","1448","2691","0.5381","3.1607685618611283","3.4299136977637543","-0.2691451359026264"
"Kazakhstan","578","2102","0.275","2.761927838420529","3.3226327116922234","-0.5607048732716944"
