"Ireland","3349","4526","0.7399","3.524915147539867","3.65571454961871","-0.13079940207884294","616","435","0.07179999999999997","0.08827551584720617","0.043885070120336156","0.04439044572687015"
"Iceland","4040","3852","1.0488","3.606381365110605","3.585686278452497","0.020695086658108076","1307","-239","0.3806999999999999","0.1697417334179443","-0.02614320104587664","0.19588493446382116"
"UK","2778","3597","0.7723","3.4437322414015967","3.5559404378185113","-0.11220819641691435","45","-494","0.10419999999999996","0.007092609708935882","-0.055889041679862306","0.06298165138879874"
"Denmark","4666","6042","0.7723","3.668944734457734","3.7811807209372614","-0.11223598647952782","1933","1951","0.10419999999999996","0.2323051027650731","0.1693512414388878","0.06295386132618527"
"Sweden","3207","4031","0.7956","3.5060989599284405","3.605412798153051","-0.09931383822461073","474","-60","0.12749999999999995","0.0694593282357796","-0.0064166813453225835","0.07587600958110235"
"Norway","3528","4567","0.7725","3.547528576459782","3.6596310116070008","-0.11210243514721847","795","476","0.10439999999999994","0.11088894476712108","0.04780153210862714","0.06308741265849462"
"Finland","2877","3688","0.7801","3.458939861890326","3.5667909123815917","-0.10785105049126568","144","-403","0.11199999999999999","0.02230023019766536","-0.04503856711678189","0.0673387973144474"
"Russia","888","2738","0.3243","2.948412965778601","3.437433443797971","-0.48902047801937015","-1845","-1353","-0.34380000000000005","-0.48822666591405994","-0.1743960357004024","-0.3138306302136571"
"Estonia","1753","2552","0.6869","3.243781916093795","3.4068806700491248","-0.16309875395532977","-980","-1539","0.018799999999999928","-0.192857715598866","-0.20494880944924887","0.012091093850383317"
"Latvia","1376","2709","0.5079","3.1386184338994925","3.4328090050331683","-0.29419057113367575","-1357","-1382","-0.1602","-0.2980211977931684","-0.1790204744652053","-0.11900072332796266"
"Lituania","1544","3076","0.502","3.188647295999717","3.4879863311293935","-0.2993390351296761","-1189","-1015","-0.16610000000000003","-0.24799233569294366","-0.12384314836898014","-0.12414918732396299"
"Bielorus","788","2414","0.3264","2.8965262174895554","3.3827372657613304","-0.4862110482717751","-1945","-1677","-0.3417","-0.5401134142031054","-0.22909221373704325","-0.31102120046606196"
"Ukraine","423","1351","0.3131","2.6263403673750423","3.130655349022031","-0.5043149816469882","-2310","-2740","-0.35500000000000004","-0.8102992643176186","-0.48117413047634283","-0.32912513384127506"
"Moldavia","651","1602","0.4064","2.813580988568192","3.204662511748219","-0.3910815231800269","-2082","-2489","-0.26170000000000004","-0.6230586431244687","-0.4071669677501548","-0.21589167537431384"
"Georgia","579","2581","0.2243","2.762678563727436","3.411788004543869","-0.6491094408164326","-2154","-1510","-0.44380000000000003","-0.6739610679652248","-0.20004147495450475","-0.4739195930107195"
