country,residual_ppp
Turkey,-0.43509477750607184
Albania,-0.20329553246119625
Kosovo,-0.19965127696991436
Moldavia,-0.1756371409911779
Ukraine,-0.16422155020425855
Greece,-0.15088720204277228
Armenia,-0.1470511331296276
Estonia,-0.14540804108681682
Iceland,-0.10525558482159925
Portugal,-0.09207068161092158
