"Turkey","870","1291","0.6739","2.9395192526186187","3.1109262422664203","-0.17140698964780182","33"
"Estonia","1753","2552","0.6869","3.243781916093795","3.4068806700491248","-0.16309875395532977","19"
"Greece","1098","2072","0.5299","3.040602340114073","3.3163897510731952","-0.2757874109591223","16"
"Slovakia","1182","2312","0.5112","3.0726174765452368","3.3639878297484915","-0.2913703532032549","14"
"Portugal","1342","2440","0.55","3.1277525158329733","3.387389826338729","-0.2596373105057561","13"
"Albania","692","1586","0.4363","2.840106094456758","3.200303182981585","-0.36019708852482724","11"
"Iceland","4040","3852","1.0488","3.606381365110605","3.585686278452497","0.020695086658108076","11"
"Finland","2877","3688","0.7801","3.458939861890326","3.5667909123815917","-0.10785105049126568","10"
"Kosovo","552","1446","0.3817","2.741939077729199","3.160168292958512","-0.41822921522931317","9"
"Malta","1448","2691","0.5381","3.1607685618611283","3.4299136977637543","-0.2691451359026264","8"
