country,residual_nominal
Turkey,-0.4350947775060714
Albania,-0.2032955324611958
Kosovo,-0.19965127696991436
Moldavia,-0.17563714099117744
Ukraine,-0.164221550204259
Greece,-0.15088720204277184
Armenia,-0.14705113312962803
Estonia,-0.14540804108681638
Iceland,-0.10525558482159836
Portugal,-0.09207068161092113
